# id: GB/NERC/BAS/PDC/02058
# title: A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species
# summary: Data on the resting metabolic rate, body mass and body temperature data for a range of vertebrate and invertebrate taxa culled from the literature for a comprehensive study of scaling relationships.
# : The data are global in extent.
# : Funding acknowledgement: 
# : BAS Core Funding
# keywords: mass,metabolic rate,scaling,temperature
# citation: Clarke, A., & Johnston, N.M. (2025). A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/8d9ffd4a-16c0-4d48-9fc9-02988676ef78
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: Data for mammals, birds, reptiles, echinoderms, cephalopods and cnidarians were from previous compilations available in the published scientific literature.  Data for fish were compiled from published studies, validated and collated.
# comment: With the exception of the data for teleost fish, data were extracted from the literature, relying on quality control by the original compiler.  The fish data were edited to exclude data where fish were active, or where the range of body mass was too small for scaling parameters to be determined with precision.
# : The data have not been processed other than converting original units to SI where appropriate. For publication the data were analysed using Minitab (version 16) and R (version 4.4.2).
# institution: British Antarctic Survey
# authors: Andrew Clarke,Nadine M. Johnston
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# [a]: unique number for each data record
# [b]: live body mass (g)
# [c]: body temperature (Celsius)
# [d]: metabolic rate
# [e]: metabolic rate units (W or mW)
# [f]: score indicating which data were used when there are more than one record for a species (1 = used, 0 = not used)
# missing values:*
Ref [a],Phylum,Class,Species,Mb [b],Tb [c],MR [d],Unit (MR) [e],Usage [f]
1004,Chordata,Osteichthyes,Saratherodon mossambicus,80,32,60.42329727,mW,0
1005,Chordata,Osteichthyes,Saratherodon mossambicus,80,34,63.39369113,mW,0
1006,Chordata,Osteichthyes,Saratherodon mossambicus,80,37,72.35334278,mW,0
1007,Chordata,Osteichthyes,Synaptura sp,41.25,28,17.23793964,mW,1
1008,Chordata,Osteichthyes,Tilapia mossambica,42.5,15,14.55030156,mW,0
1009,Chordata,Osteichthyes,Tilapia mossambica,42.5,20,28.66901759,mW,0
1010,Chordata,Osteichthyes,Tilapia mossambica,42.5,25,46.80006145,mW,1
1011,Chordata,Osteichthyes,Tilapia mossambica,42.5,30,67.5871234,mW,0
1012,Chordata,Osteichthyes,Tilapia mossambica,42.5,35,98.6723754,mW,0
1013,Chordata,Osteichthyes,Tilapia mossambica,42.5,40,94.16278339,mW,0
1014,Chordata,Osteichthyes,Tilapia nilotica,92,25,103.4843518,mW,1
1015,Chordata,Osteichthyes,Trematomus hansoni,45.035,3,5.615373322,mW,1
1016,Echindermata,Asteroidea,Asterias forbesi,153.476,*,6.605351247,mW,0
1017,Echindermata,Asteroidea,Asterias forbesi,59.866,*,4.200398113,mW,1
1018,Echindermata,Asteroidea,Asterias forbesi,9.826,*,1.421494667,mW,0
1019,Echindermata,Asteroidea,Astropecten armatus,27.1,*,2.538502167,mW,1
1020,Echindermata,Asteroidea,Coscinasterias calamaria,33,*,1.818098333,mW,0
1021,Echindermata,Asteroidea,Coscinasterias calamaria,81,*,4.21848,mW,1
1022,Echindermata,Asteroidea,Ctenodiscus crispatus,8.222,*,0.167514114,mW,1
1023,Echindermata,Asteroidea,Dermasterias imbricata,23.5,*,0.949073611,mW,1
1024,Echindermata,Asteroidea,Echinaster sepositus,80,*,7.021155556,mW,1
1025,Echindermata,Asteroidea,Heliaster kubinji,106.2,*,10.178385,mW,1
1026,Echindermata,Asteroidea,Leptasterias aequalis,1.5,*,0.2164575,mW,1
1027,Echindermata,Asteroidea,Leptasterias hexactis,2.944,*,0.033362062,mW,1
1028,Echindermata,Asteroidea,Linkia laevigata,100.3,*,1.184988778,mW,1
1029,Echindermata,Asteroidea,Mediaster aequalis,15.3,*,1.2597935,mW,1
1030,Echindermata,Asteroidea,Odantaster validus,18.5,*,0.488430833,mW,1
1031,Echindermata,Asteroidea,Orthasterias columbians,20.8,*,2.843568,mW,1
1032,Echindermata,Asteroidea,Patiria miniata,11.6,*,0.655870444,mW,1
1033,Echindermata,Asteroidea,Pentagonaster pulchellus,12,*,0.245933333,mW,0
1034,Echindermata,Asteroidea,Pentagonaster pulchellus,12.4,*,0.276554444,mW,1
1035,Echindermata,Asteroidea,Pisaster brevispinus,19.9,*,1.3170815,mW,1
1036,Echindermata,Asteroidea,Pisaster giganteus,1.3,*,0.177723,mW,1
1037,Echindermata,Asteroidea,Pisaster ochraceus,3.311,*,0.036722669,mW,1
1038,Echindermata,Asteroidea,Pisaster ochraceus,334.673,*,4.034668944,mW,0
1039,Echindermata,Asteroidea,Pisaster ochraceus,9.303,*,0.11439589,mW,1
1040,Echindermata,Asteroidea,Pycnopodia helianthoides,26.2,*,1.383447333,mW,1
1041,Echindermata,Asteroidea,Zoroaster evermanni,52.9,*,1.594347222,mW,1
1042,Echindermata,Crinoidea,Antedon bifida,0.9,*,0.1962765,mW,0
1043,Echindermata,Crinoidea,Antedon bifida,1.34,*,0.176729622,mW,1
1044,Echindermata,Crinoidea,Antedon petasus,2.2,*,0.276096333,mW,0
1045,Echindermata,Crinoidea,Antedon petasus,2.2,*,0.420112,mW,1
1046,Echindermata,Crinoidea,Antedon petasus,2.2,*,0.541318556,mW,0
1047,Echindermata,Crinoidea,Cenocrinus asterius,54.1,*,7.3373125,mW,1
1048,Echindermata,Crinoidea,Comachinia echinoptera,3.9,*,1.146266333,mW,1
1049,Echindermata,Crinoidea,Democrinus conifer,0.3,*,0.070091,mW,1
1050,Echindermata,Crinoidea,Florometra serratissima,4.5,*,0.64666,mW,1
1051,Echindermata,Crinoidea,Holopus rangii,6.9,*,0.4417035,mW,1
1052,Echindermata,Crinoidea,Nemaster discoidea,3.6,*,1.302,mW,1
1053,Echindermata,Crinoidea,Nemaster rubiginosa,7.7,*,1.711744222,mW,0
1054,Echindermata,Crinoidea,Nemaster rubiginosa,4.8,*,1.102938667,mW,1
1055,Echindermata,Echinoidea,Abatus cordatus,18.88,*,0.789802844,mW,0
1056,Echindermata,Echinoidea,Abatus cordatus,5.438,*,0.547410228,mW,1
1057,Echindermata,Echinoidea,Allocentrotus fragilis,50.4,*,1.403556,mW,1
1058,Echindermata,Echinoidea,Arbacia lixula,80,*,9.007911111,mW,1
1059,Echindermata,Echinoidea,Echinarachnius parma,4.2,*,0.083545,mW,1
1060,Echindermata,Echinoidea,Echinocardium pennatifidum,20,*,0.646177778,mW,1
1061,Echindermata,Echinoidea,Echinometra lucunter,3.1,*,0.221991,mW,1
1062,Echindermata,Echinoidea,Echinometra mathaei,28,*,0.708866667,mW,1
1063,Echindermata,Echinoidea,Echinocrepis sp.,83.4,*,1.608693333,mW,1
1064,Echindermata,Echinoidea,Evechinus chloroticus,589,*,19.52698611,mW,1
1065,Echindermata,Echinoidea,Evechinus chloroticus,954,*,25.99226,mW,0
1066,Echindermata,Echinoidea,Goniocidaris umbraculum,12.1,*,0.261111278,mW,1
1067,Echindermata,Echinoidea,Goniocidaris umbraculum,7.75,*,0.181255278,mW,0
1068,Echindermata,Echinoidea,Lytechinus anamesus,3.7,*,0.296626944,mW,1
1069,Echindermata,Echinoidea,Paracentrotus lividus,80,*,3.761333333,mW,1
1070,Echindermata,Echinoidea,Psammechinus miliaris,5.5,*,1.243892222,mW,0
1071,Echindermata,Echinoidea,Psammechinus miliaris,13.87,*,1.494862367,mW,1
1072,Echindermata,Echinoidea,Sphaerechinus granularis,80,*,3.105511111,mW,1
1073,Echindermata,Echinoidea,Sterechinus neumayeri,71.6,*,1.346557333,mW,0
1074,Echindermata,Echinoidea,Sterechinus neumayeri,5.5,*,0.263233056,mW,1
1075,Echindermata,Echinoidea,Strongylocentrotus droebachiensis,8.3,*,0.863527389,mW,0
1076,Echindermata,Echinoidea,Strongylocentrotus droebachiensis,40,*,1.147688889,mW,0
1077,Echindermata,Echinoidea,Strongylocentrotus droebachiensis,65,*,1.120563889,mW,1
1078,Echindermata,Echinoidea,Strongylocentrotus droebachiensis,100,*,1.446666667,mW,0
1079,Echindermata,Echinoidea,Strongylocentrotus franciscanus,44.7,*,1.61665,mW,1
1080,Echindermata,Echinoidea,Strongylocentrotus intermedius,55.5,*,3.091165,mW,0
1081,Echindermata,Echinoidea,Strongylocentrotus intermedius,53.4,*,3.695220667,mW,1
1082,Echindermata,Echinoidea,Strongylocentrotus nudus,75,*,3.652833333,mW,0
1083,Echindermata,Echinoidea,Strongylocentrotus nudus,75,*,4.855375,mW,1
1084,Echindermata,Echinoidea,Strongylocentrotus nudus,75,*,6.546166667,mW,0
1085,Echindermata,Echinoidea,Strongylocentrotus pallidus,83.2,*,2.016074667,mW,1
1086,Echindermata,Echinoidea,Strongylocentrotus purpuratus,10.073,*,1.585949081,mW,0
1087,Echindermata,Echinoidea,Strongylocentrotus purpuratus,55,*,2.367108333,mW,0
1088,Echindermata,Echinoidea,Strongylocentrotus purpuratus,63.135,*,2.2833825,mW,1
1089,Echindermata,Echinoidea,Strongylocentrotus purpuratus,9.73,*,1.068608061,mW,0
1090,Echindermata,Echinoidea,Tripneustes ventricosus,5.2,*,0.436941556,mW,1
1091,Echindermata,Holothuroidea,Actinopyga mauritiana,402.333,*,7.760556533,mW,1
1092,Echindermata,Holothuroidea,Benthodytes gosarsi,1149.829,*,1.108946191,mW,1
1093,Echindermata,Holothuroidea,Cucumaria frondosa,755,*,13.83495556,mW,1
1094,Echindermata,Holothuroidea,Enypniastes eximia,271.1,*,3.170213278,mW,0
1095,Echindermata,Holothuroidea,Enypniastes eximia,693.257,*,5.766742812,mW,1
1096,Echindermata,Holothuroidea,Enypniastes eximia,91.159,*,0.747301224,mW,0
1097,Echindermata,Holothuroidea,Eupentacta quinquesemita,5.5,*,0.518509444,mW,1
1098,Echindermata,Holothuroidea,Heterocucumis steineni,80.34,*,0.542384267,mW,0
1099,Echindermata,Holothuroidea,Heterocucumis steineni,80.34,*,0.9879142,mW,1
1100,Echindermata,Holothuroidea,Heterocucumis steineni,80.34,*,1.055712233,mW,0
1101,Echindermata,Holothuroidea,Holothuria atra,240,*,59.892,mW,1
1102,Echindermata,Holothuroidea,Holothuria atra,11,*,0.251961111,mW,0
1103,Echindermata,Holothuroidea,Holothuria edulis,25,*,0.602777778,mW,0
1104,Echindermata,Holothuroidea,Holothuria edulis,358,*,35.39028889,mW,1
1105,Echindermata,Holothuroidea,Holothuria forskali,37.4,*,0.870194111,mW,0
1106,Echindermata,Holothuroidea,Holothuria forskali,113,*,4.481893889,mW,1
1107,Echindermata,Holothuroidea,Holothuria polii,80,*,5.256222222,mW,1
1108,Echindermata,Holothuroidea,Leptosynapta inhaerens,2.4,*,0.179676,mW,1
1109,Echindermata,Holothuroidea,Parastichopus californicus,27.3,*,2.820529833,mW,1
1110,Echindermata,Holothuroidea,Peniagone azorica,51.25,*,0.172997222,mW,1
1111,Echindermata,Holothuroidea,Psolus spp.,40.6,*,1.027856667,mW,1
1112,Echindermata,Holothuroidea,Scotoplanes globosa,0.639,*,0.03481982,mW,0
1113,Echindermata,Holothuroidea,Scotoplanes globosa,8.371,*,0.196788258,mW,1
1114,Echindermata,Holothuroidea,Stichopus chloronotus,6,*,0.202533333,mW,0
1115,Echindermata,Holothuroidea,Stichopus chloronotus,535,*,118.0299167,mW,1
1116,Echindermata,Holothuroidea,Zygothuria lactea,130.2,*,3.406104333,mW,1
1117,Echindermata,Ophiuroidea,Amphiodia occidentalis,0.75,*,0.012115833,mW,1
1118,Echindermata,Ophiuroidea,Hemipholis elongata,0.515,*,0.143729347,mW,0
1119,Echindermata,Ophiuroidea,Hemipholis elongata,0.645,*,0.215623858,mW,1
1120,Echindermata,Ophiuroidea,Ophiacantha abyssicola,2.2,*,0.146933111,mW,1
1121,Echindermata,Ophiuroidea,Ophiacantha bidentata,0.367,*,0.023272286,mW,1
1122,Echindermata,Ophiuroidea,Ophiactis resiliens,0.331,*,0.137389089,mW,1
1123,Echindermata,Ophiuroidea,Ophiocten sericeum,0.236,*,0.032206658,mW,1
1124,Echindermata,Ophiuroidea,Ophiomusium armigerum,1.054,*,0.158577813,mW,1
1125,Echindermata,Ophiuroidea,Ophiomusium lymani,0.451,*,0.124943537,mW,1
1126,Echindermata,Ophiuroidea,Ophionereis fasciata,1.41,*,0.445866283,mW,1
1127,Echindermata,Ophiuroidea,Ophiopholis aculeata,1,*,0.081616111,mW,1
1128,Echindermata,Ophiuroidea,Ophiophthalmus normani,0.693,*,0.135259355,mW,1
1129,Echindermata,Ophiuroidea,Ophiopluera borealis,13.903,*,1.014030753,mW,1
1130,Echindermata,Ophiuroidea,Ophiopteris antipodum,5.76,*,0.6409312,mW,0
1131,Echindermata,Ophiuroidea,Ophiopteris antipodum,1.275,*,0.370129667,mW,1
1132,Echindermata,Ophiuroidea,Ophiopteris antipodum,3.28,*,0.449595067,mW,0
1133,Echindermata,Ophiuroidea,Ophioscolex glacialis,6.486,*,0.243178157,mW,1
1134,Echindermata,Ophiuroidea,Ophiura irrorata,8.333,*,0.113518607,mW,1
1135,Echindermata,Ophiuroidea,Ophiura sarsi,1.4,*,0.206584,mW,1
1136,Mollusca,Cephalopoda,Bathypolypus articus,3,*,0.679933333,mW,1
1137,Mollusca,Cephalopoda,Cranchia scabra,6.39,*,0.30814,mW,0
1138,Mollusca,Cephalopoda,Cranchia scabra,35.39,*,1.237273722,mW,1
1139,Mollusca,Cephalopoda,Dosidicus gigas,0.01,*,0.015816889,mW,0
1140,Mollusca,Cephalopoda,Dosidicus gigas,0.031,*,0.0356531,mW,0
1141,Mollusca,Cephalopoda,Dosidicus gigas,0.037,*,0.031669944,mW,0
1142,Mollusca,Cephalopoda,Dosidicus gigas,0.43,*,0.391383611,mW,0
1143,Mollusca,Cephalopoda,Dosidicus gigas,0.5,*,0.491263889,mW,1
1144,Mollusca,Cephalopoda,Dosidicus gigas,0.85,*,1.236839722,mW,0
1145,Mollusca,Cephalopoda,Dosidicus gigas,2.2,*,1.700074444,mW,0
1146,Mollusca,Cephalopoda,Dosidicus gigas,1100,*,726.7088889,mW,0
1147,Mollusca,Cephalopoda,Dosidicus gigas,6600,*,4598.953333,mW,0
1148,Mollusca,Cephalopoda,Dosidicus gigas,12200,*,5147.722222,mW,0
1149,Mollusca,Cephalopoda,Eledone cirrhosa,150,*,21.1575,mW,1
1150,Mollusca,Cephalopoda,Eledonella pygmaea,2.03,*,0.024472778,mW,0
1151,Mollusca,Cephalopoda,Eledonella pygmaea,3.49,*,0.079940389,mW,0
1152,Mollusca,Cephalopoda,Eledonella pygmaea,3.73,*,0.085437722,mW,0
1153,Mollusca,Cephalopoda,Eledonella pygmaea,5.4,*,0.27993,mW,0
1154,Mollusca,Cephalopoda,Eledonella pygmaea,11.8,*,0.270285556,mW,1
1155,Mollusca,Cephalopoda,Eledonella pygmaea,20.2,*,0.121761111,mW,0
1156,Mollusca,Cephalopoda,Eledonella pygmaea,40,*,0.434,mW,0
1157,Mollusca,Cephalopoda,Eledonella pygmaea,60.821,*,1.539784983,mW,0
1158,Mollusca,Cephalopoda,Galiteuthis phyllura,5.19,*,0.381666833,mW,1
1159,Mollusca,Cephalopoda,Gonatus onyx,0.009,*,0.00721525,mW,0
1160,Mollusca,Cephalopoda,Gonatus onyx,0.009,*,0.0068355,mW,0
1161,Mollusca,Cephalopoda,Gonatus onyx,0.009,*,0.00617365,mW,0
1162,Mollusca,Cephalopoda,Gonatus onyx,0.01,*,0.004207389,mW,0
1163,Mollusca,Cephalopoda,Gonatus onyx,0.01,*,0.006329167,mW,0
1164,Mollusca,Cephalopoda,Gonatus onyx,0.014,*,0.004776411,mW,0
1165,Mollusca,Cephalopoda,Gonatus onyx,0.065,*,0.029150333,mW,0
1166,Mollusca,Cephalopoda,Gonatus onyx,0.074,*,0.058950702,mW,0
1167,Mollusca,Cephalopoda,Gonatus onyx,0.096,*,0.083142827,mW,0
1168,Mollusca,Cephalopoda,Gonatus onyx,0.117,*,0.03540355,mW,0
1169,Mollusca,Cephalopoda,Gonatus onyx,0.227,*,0.187704156,mW,0
1170,Mollusca,Cephalopoda,Gonatus onyx,0.284,*,0.255071444,mW,0
1171,Mollusca,Cephalopoda,Gonatus onyx,0.34,*,0.133213889,mW,0
1172,Mollusca,Cephalopoda,Gonatus onyx,0.51,*,0.208735917,mW,0
1173,Mollusca,Cephalopoda,Gonatus onyx,1.171,*,0.815259958,mW,1
1174,Mollusca,Cephalopoda,Gonatus onyx,1.56,*,0.882784933,mW,0
1175,Mollusca,Cephalopoda,Gonatus onyx,1.75,*,0.892623472,mW,0
1176,Mollusca,Cephalopoda,Gonatus onyx,2.31,*,2.4478685,mW,0
1177,Mollusca,Cephalopoda,Gonatus onyx,8.52,*,3.375160133,mW,0
1178,Mollusca,Cephalopoda,Gonatus pyros,2.17,*,0.923467611,mW,0
1179,Mollusca,Cephalopoda,Gonatus pyros,2.5,*,2.290555556,mW,0
1180,Mollusca,Cephalopoda,Gonatus pyros,3.12,*,1.203626667,mW,1
1181,Mollusca,Cephalopoda,Gonatus pyros,3.84,*,1.459165867,mW,0
1182,Mollusca,Cephalopoda,Gonatus pyros,31.28,*,16.65640884,mW,0
1183,Mollusca,Cephalopoda,Helicocranchia pfeferi,0.15,*,0.035081667,mW,0
1184,Mollusca,Cephalopoda,Helicocranchia pfeferi,0.19,*,0.021531222,mW,0
1185,Mollusca,Cephalopoda,Helicocranchia pfeferi,0.31,*,0.034008722,mW,0
1186,Mollusca,Cephalopoda,Helicocranchia pfeferi,0.38,*,0.046269222,mW,0
1187,Mollusca,Cephalopoda,Helicocranchia pfeferi,0.63,*,0.0706335,mW,1
1188,Mollusca,Cephalopoda,Helicocranchia pfeferi,0.71,*,0.067619611,mW,0
1189,Mollusca,Cephalopoda,Helicocranchia pfeferi,3.6,*,0.17794,mW,0
1190,Mollusca,Cephalopoda,Histioteuthis heteropsis,0.23,*,0.069319444,mW,0
1191,Mollusca,Cephalopoda,Histioteuthis heteropsis,0.23,*,0.047691778,mW,0
1192,Mollusca,Cephalopoda,Histioteuthis heteropsis,0.51,*,0.183220333,mW,0
1193,Mollusca,Cephalopoda,Histioteuthis heteropsis,0.8,*,0.162991111,mW,0
1194,Mollusca,Cephalopoda,Histioteuthis heteropsis,0.97,*,0.111091944,mW,0
1195,Mollusca,Cephalopoda,Histioteuthis heteropsis,1.03,*,0.126655667,mW,0
1196,Mollusca,Cephalopoda,Histioteuthis heteropsis,1.09,*,0.131405556,mW,0
1197,Mollusca,Cephalopoda,Histioteuthis heteropsis,1.09,*,0.182653722,mW,0
1198,Mollusca,Cephalopoda,Histioteuthis heteropsis,1.79,*,0.123002833,mW,0
1199,Mollusca,Cephalopoda,Histioteuthis heteropsis,2.07,*,0.224595,mW,0
1200,Mollusca,Cephalopoda,Histioteuthis heteropsis,2.09,*,0.146137444,mW,0
1201,Mollusca,Cephalopoda,Histioteuthis heteropsis,2.85,*,0.357326667,mW,0
1202,Mollusca,Cephalopoda,Histioteuthis heteropsis,2.85,*,0.45353,mW,0
1203,Mollusca,Cephalopoda,Histioteuthis heteropsis,4.25,*,0.425259722,mW,0
1204,Mollusca,Cephalopoda,Histioteuthis heteropsis,10.94,*,0.712194,mW,0
1205,Mollusca,Cephalopoda,Histioteuthis heteropsis,12.68,*,1.345207111,mW,1
1206,Mollusca,Cephalopoda,Histioteuthis heteropsis,15.87,*,1.243590833,mW,0
1207,Mollusca,Cephalopoda,Histioteuthis heteropsis,18.92,*,1.893156222,mW,0
1208,Mollusca,Cephalopoda,Histioteuthis heteropsis,27.1,*,2.384950556,mW,0
1209,Mollusca,Cephalopoda,Histioteuthis heteropsis,33.97,*,3.235265056,mW,0
1210,Mollusca,Cephalopoda,Histioteuthis heteropsis,36.98,*,2.006165,mW,0
1211,Mollusca,Cephalopoda,Histioteuthis heteropsis,150,*,8.499166667,mW,0
1212,Mollusca,Cephalopoda,Histioteuthis hoylei,0.41,*,0.082050111,mW,0
1213,Mollusca,Cephalopoda,Histioteuthis hoylei,0.44,*,0.165498667,mW,0
1214,Mollusca,Cephalopoda,Histioteuthis hoylei,1.27,*,0.270996833,mW,0
1215,Mollusca,Cephalopoda,Histioteuthis hoylei,8.51,*,1.162376172,mW,0
1216,Mollusca,Cephalopoda,Illex illecebrosus,42,*,22.785,mW,0
1217,Mollusca,Cephalopoda,Illex illecebrosus,100,*,74.26222222,mW,0
1218,Mollusca,Cephalopoda,Illex illecebrosus,200,*,162.9911111,mW,1
1219,Mollusca,Cephalopoda,Illex illecebrosus,400,*,270.0444444,mW,0
1220,Mollusca,Cephalopoda,Illex illecebrosus,443,*,213.6244444,mW,0
1221,Mollusca,Cephalopoda,Illex illecebrosus,500,*,317.6638889,mW,0
1222,Mollusca,Cephalopoda,Japetella diaphana,0.02,*,0.002145889,mW,0
1223,Mollusca,Cephalopoda,Japetella diaphana,0.03,*,0.001772167,mW,0
1224,Mollusca,Cephalopoda,Japetella diaphana,0.03,*,0.001591333,mW,0
1225,Mollusca,Cephalopoda,Japetella diaphana,0.56,*,0.019578222,mW,0
1226,Mollusca,Cephalopoda,Japetella diaphana,2.12,*,0.063894444,mW,0
1227,Mollusca,Cephalopoda,Japetella diaphana,2.69,*,0.081073611,mW,0
1228,Mollusca,Cephalopoda,Japetella diaphana,24.09,*,0.348502,mW,1
1229,Mollusca,Cephalopoda,Japetella diaphana,36,*,0.434,mW,0
1230,Mollusca,Cephalopoda,Japetella diaphana,70.85,*,0.597895278,mW,0
1231,Mollusca,Cephalopoda,Japetella diaphana,153.25,*,1.108508333,mW,0
1232,Mollusca,Cephalopoda,Japetella diaphana,182.07,*,1.316973,mW,0
1233,Mollusca,Cephalopoda,Japetella diaphana,242.17,*,1.167797556,mW,0
1234,Mollusca,Cephalopoda,Japetella heathi,0.84,*,0.022278667,mW,0
1235,Mollusca,Cephalopoda,Japetella heathi,0.87,*,0.025172,mW,0
1236,Mollusca,Cephalopoda,Japetella heathi,1.49,*,0.052092056,mW,0
1237,Mollusca,Cephalopoda,Japetella heathi,6.32,*,0.365717333,mW,0
1238,Mollusca,Cephalopoda,Japetella heathi,9.746,*,0.246736233,mW,0
1239,Mollusca,Cephalopoda,Japetella heathi,10.427,*,0.301687867,mW,0
1240,Mollusca,Cephalopoda,Japetella heathi,20.33,*,0.245089444,mW,1
1241,Mollusca,Cephalopoda,Japetella heathi,25.504,*,0.368957867,mW,0
1242,Mollusca,Cephalopoda,Japetella heathi,30.586,*,1.032447422,mW,0
1243,Mollusca,Cephalopoda,Japetella heathi,53.04,*,1.023082667,mW,0
1244,Mollusca,Cephalopoda,Japetella heathi,71.776,*,0.951829511,mW,0
1245,Mollusca,Cephalopoda,Japetella heathi,162.5,*,0.587708333,mW,0
1246,Mollusca,Cephalopoda,Liocranchia pacificus,1.52,*,0.065968,mW,0
1247,Mollusca,Cephalopoda,Liocranchia pacificus,2.12,*,0.061338667,mW,0
1248,Mollusca,Cephalopoda,Liocranchia valdivia,0.017,*,0.001516589,mW,0
1249,Mollusca,Cephalopoda,Liocranchia valdivia,0.09,*,0.0085715,mW,0
1250,Mollusca,Cephalopoda,Liocranchia valdivia,0.17,*,0.032996056,mW,0
1251,Mollusca,Cephalopoda,Liocranchia valdivia,0.25,*,0.014768056,mW,0
1252,Mollusca,Cephalopoda,Liocranchia valdivia,0.68,*,0.033610889,mW,0
1253,Mollusca,Cephalopoda,Liocranchia valdivia,0.71,*,0.041941278,mW,0
1254,Mollusca,Cephalopoda,Liocranchia valdivia,0.9,*,0.04123,mW,0
1255,Mollusca,Cephalopoda,Liocranchia valdivia,0.92,*,0.031055111,mW,0
1256,Mollusca,Cephalopoda,Liocranchia valdivia,0.96,*,0.042821333,mW,0
1257,Mollusca,Cephalopoda,Liocranchia valdivia,1.23,*,0.045967833,mW,0
1258,Mollusca,Cephalopoda,Liocranchia valdivia,1.25,*,0.049729167,mW,0
1259,Mollusca,Cephalopoda,Liocranchia valdivia,1.3,*,0.08463,mW,0
1260,Mollusca,Cephalopoda,Liocranchia valdivia,1.5,*,0.133816667,mW,0
1261,Mollusca,Cephalopoda,Liocranchia valdivia,1.57,*,0.064352556,mW,0
1262,Mollusca,Cephalopoda,Liocranchia valdivia,2.47,*,0.107198,mW,0
1263,Mollusca,Cephalopoda,Liocranchia valdivia,2.69,*,0.139446611,mW,0
1264,Mollusca,Cephalopoda,Liocranchia valdivia,3.27,*,0.275951667,mW,1
1265,Mollusca,Cephalopoda,Liocranchia valdivia,3.27,*,0.118265,mW,0
1266,Mollusca,Cephalopoda,Liocranchia valdivia,19,*,0.893316667,mW,0
1267,Mollusca,Cephalopoda,Liocranchia valdivia,21.28,*,0.692664,mW,0
1268,Mollusca,Cephalopoda,Loligo forbesi,0.019,*,0.034953878,mW,0
1269,Mollusca,Cephalopoda,Loligo forbesi,0.019,*,0.027669911,mW,0
1270,Mollusca,Cephalopoda,Loligo forbesi,0.029,*,0.03681405,mW,0
1271,Mollusca,Cephalopoda,Loligo forbesi,0.029,*,0.037583194,mW,0
1272,Mollusca,Cephalopoda,Loligo forbesi,0.08,*,0.101941778,mW,0
1273,Mollusca,Cephalopoda,Loligo forbesi,0.08,*,0.093840444,mW,0
1274,Mollusca,Cephalopoda,Loligo forbesi,0.1,*,0.111272778,mW,0
1275,Mollusca,Cephalopoda,Loligo forbesi,0.1,*,0.119229444,mW,0
1276,Mollusca,Cephalopoda,Loligo forbesi,738,*,450.1882,mW,1
1277,Mollusca,Cephalopoda,Loligo forbesi,745,*,400.5699444,mW,0
1278,Mollusca,Cephalopoda,Loligo forbesi,937,*,472.1751222,mW,0
1279,Mollusca,Cephalopoda,Loligo forbesi,1004,*,559.1945333,mW,0
1280,Mollusca,Cephalopoda,Loligo opalescens,30,*,20.00016667,mW,0
1281,Mollusca,Cephalopoda,Loligo opalescens,41,*,27.97612222,mW,1
1282,Mollusca,Cephalopoda,Loligo pealei,50,*,52.20055556,mW,0
1283,Mollusca,Cephalopoda,Loligo pealei,100,*,92.82777778,mW,1
1284,Mollusca,Cephalopoda,Lolliguncula brevis,2.3,*,2.697912778,mW,0
1285,Mollusca,Cephalopoda,Lolliguncula brevis,3,*,3.030766667,mW,0
1286,Mollusca,Cephalopoda,Lolliguncula brevis,3,*,2.683566667,mW,0
1287,Mollusca,Cephalopoda,Lolliguncula brevis,5,*,3.604611111,mW,0
1288,Mollusca,Cephalopoda,Lolliguncula brevis,5,*,4.400277778,mW,0
1289,Mollusca,Cephalopoda,Lolliguncula brevis,5,*,3.966277778,mW,0
1290,Mollusca,Cephalopoda,Lolliguncula brevis,7.5,*,7.368958333,mW,0
1291,Mollusca,Cephalopoda,Lolliguncula brevis,8,*,6.924711111,mW,0
1292,Mollusca,Cephalopoda,Lolliguncula brevis,8,*,7.271911111,mW,0
1293,Mollusca,Cephalopoda,Lolliguncula brevis,8.02,*,8.846728333,mW,0
1294,Mollusca,Cephalopoda,Lolliguncula brevis,8.2,*,5.911562222,mW,0
1295,Mollusca,Cephalopoda,Lolliguncula brevis,10,*,7.932555556,mW,0
1296,Mollusca,Cephalopoda,Lolliguncula brevis,11,*,8.566677778,mW,0
1297,Mollusca,Cephalopoda,Lolliguncula brevis,12.25,*,12.15410972,mW,0
1298,Mollusca,Cephalopoda,Lolliguncula brevis,13,*,8.447327778,mW,0
1299,Mollusca,Cephalopoda,Lolliguncula brevis,13.5,*,15.705375,mW,0
1300,Mollusca,Cephalopoda,Lolliguncula brevis,14,*,8.894588889,mW,0
1301,Mollusca,Cephalopoda,Lolliguncula brevis,15.75,*,11.5444,mW,0
1302,Mollusca,Cephalopoda,Lolliguncula brevis,20,*,14.41844444,mW,0
